#	name	sys/rms	r0						
#	seed applies to all magnets randoms				
seed	4399		BASELINE_7_7_09 		
quad	rms	2.50E-02	14	1.00E-05	1.00E-05
quad	rms	2.50E-02	15	1.00E-05	1.00E-05
quad	rms	2.50E-02	16	1.00E-05	1.00E-05
quad	rms	2.50E-02	17	1.00E-05	1.00E-05
quad	rms	2.50E-02	18	0.00E+00	0.00E+00
quad	rms	2.50E-02	19	1.00E-05	1.00E-05
quad	rms	2.50E-02	20	1.00E-05	1.00E-05
quad	rms	2.50E-02	21	1.00E-05	1.00E-05
quad	sys	2.50E-02	6	1.00E-04	1.00E-05
quad	sys	2.50E-02	10	3.00E-04	1.00E-05
quad	sys	2.50E-02	14	2.00E-04	1.00E-05
#s68	
sext	rms	2.50E-02	1	1.00E-03	5.00E-04
sext	rms	2.50E-02	2	1.00E-04	1.00E-04
sext	rms	2.50E-02	3	5.00E-04	1.00E-04
sext	rms	2.50E-02	4	2.50E-04	1.00E-04
sext	rms	2.50E-02	5	1.00E-04	1.00E-04
sext	rms	2.50E-02	6	5.00E-05	2.00E-05
sext	rms	2.50E-02	7	5.00E-05	2.00E-05
sext	rms	2.50E-02	8	5.00E-05	1.00E-05
sext	rms	2.50E-02	9	2.00E-05	1.00E-05
sext	rms	2.50E-02	10	2.00E-05	1.00E-05
sext	rms	2.50E-02	11	2.00E-05	1.00E-05
sext	rms	2.50E-02	12	1.00E-05	1.00E-05
sext	rms	2.50E-02	13	1.00E-05	1.00E-05
sext	rms	2.50E-02	14	1.00E-05	1.00E-05
sext	rms	2.50E-02	15	1.00E-05	1.00E-05
sext	rms	2.50E-02	16	1.00E-05	1.00E-05
sext	rms	2.50E-02	17	1.00E-05	1.00E-05
sext	rms	2.50E-02	18	1.00E-05	1.00E-05
sext	rms	2.50E-02	19	1.00E-05	1.00E-05
sext	rms	2.50E-02	20	1.00E-05	1.00E-05
sext	rms	2.50E-02	21	1.00E-05	1.00E-05
sext	sys	2.50E-02	9	1.00E-04	1.00E-05
sext	sys	2.50E-02	15	1.00E-05	1.00E-05
sext	sys	2.50E-02	21	1.00E-05	1.00E-05
