# name  dxmin  dxmax  dymin   dymax  (Apertures in meters)
#
#all    -50e-3  38e-3  -12.5e-3   12.5e-3
#D_CPMU  -50e-3  38e-3   -2.5e-3     2.5e-3
#CPMU1   -50e-3  38e-3   -2.5e-3     2.5e-3
#D7H     -30e-3  38e-3  -12.5e-3   12.5e-3
#D6A     -27e-3  38e-3  -12.5e-3   12.5e-3
#all    -50e-3  50e-3  -12.5e-3   12.5e-3
#d0id   -20e-3  20e-3  -2.5e-3     2.5e-3
#d6a    -25e-3  35e-3  -12.5e-3   12.5e-3
#
LS   -30e-3  30e-3  -4.75e-3    4.75e-3
SS   -20e-3  20e-3  -2.5e-3     2.5e-3
